DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
190326475,03/01/2020 12:00:00 AM,03/01/2020 12:00:00 AM,2130,07,Wilshire,0784,1,510,VEHICLE - STOLEN,,0,M,O,101,STREET,,,AA,Adult Arrest,510,998,,,1900 S  LONGWOOD                     AV,,34.0375,-118.3506
200106753,02/09/2020 12:00:00 AM,02/08/2020 12:00:00 AM,1800,01,Central,0182,1,330,BURGLARY FROM VEHICLE,1822 1402 0344,47,M,O,128,BUS STOP/LAYOVER (ALSO QUERY 124),,,IC,Invest Cont,330,998,,,1000 S  FLOWER                       ST,,34.0444,-118.2628
200320258,11/11/2020 12:00:00 AM,11/04/2020 12:00:00 AM,1700,03,Southwest,0356,1,480,BIKE - STOLEN,0344 1251,19,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,480,,,,1400 W  37TH                         ST,,34.021,-118.3002
200907217,05/10/2023 12:00:00 AM,03/10/2020 12:00:00 AM,2037,09,Van Nuys,0964,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 1501,19,M,O,405,CLOTHING STORE,,,IC,Invest Cont,343,,,,14000    RIVERSIDE                    DR,,34.1576,-118.4387
200412582,09/09/2020 12:00:00 AM,09/09/2020 12:00:00 AM,0630,04,Hollenbeck,0413,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,200 E  AVENUE 28,,34.082,-118.213
200209713,05/03/2020 12:00:00 AM,05/02/2020 12:00:00 AM,1800,02,Rampart,0245,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2500 W  4TH                          ST,,34.0642,-118.2771
200200759,07/07/2020 12:00:00 AM,07/07/2020 12:00:00 AM,1340,02,Rampart,0265,1,648,ARSON,0329 1402 2004 1501,0,X,X,101,STREET,,,IC,Invest Cont,648,998,,,JAMES M WOOD,ALVARADO,34.0536,-118.2788
201308739,03/27/2020 12:00:00 AM,03/27/2020 12:00:00 AM,1210,13,Newton,1333,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,3200 S  SAN PEDRO                    ST,,34.017,-118.2643
201112065,07/31/2020 12:00:00 AM,07/30/2020 12:00:00 AM,2030,11,Northeast,1161,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AA,Adult Arrest,510,,,,KENMORE                      ST,FOUNTAIN,34.0953,-118.2974
200121929,12/04/2020 12:00:00 AM,12/03/2020 12:00:00 AM,2300,01,Central,0105,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,400    SOLANO                       AV,,34.071,-118.2302
201215394,06/26/2020 12:00:00 AM,06/25/2020 12:00:00 AM,2200,12,77th Street,1259,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,FLORENCE,WADSWORTH,33.9747,-118.2587
200406391,03/02/2020 12:00:00 AM,03/01/2020 12:00:00 AM,1430,04,Hollenbeck,0407,1,310,BURGLARY,0344 1607,27,M,W,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,4500    HUNTINGTON DR,,34.0881,-118.1877
200114396,07/06/2020 12:00:00 AM,07/04/2020 12:00:00 AM,0100,01,Central,0157,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,6TH                          ST,CROCKER,34.0423,-118.2453
200912561,07/20/2020 12:00:00 AM,07/20/2020 12:00:00 AM,0700,09,Van Nuys,0937,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,BESSEMER,RANCHITO,34.1812,-118.4356
200207955,03/19/2020 12:00:00 AM,03/19/2020 12:00:00 AM,0130,02,Rampart,0236,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1900    MIRAMAR                      ST,,34.0632,-118.2693
200112598,06/01/2020 12:00:00 AM,05/30/2020 12:00:00 AM,0030,01,Central,0153,1,310,BURGLARY,1609 0344,0,M,W,201,JEWELRY STORE,,,AA,Adult Arrest,310,,,,600 S  BROADWAY,,34.0467,-118.252
200905707,02/08/2020 12:00:00 AM,02/07/2020 12:00:00 AM,2000,09,Van Nuys,0939,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AO,Adult Other,510,,,,AETNA,ATOLL,34.1803,-118.4204
200215463,09/26/2020 12:00:00 AM,09/25/2020 12:00:00 AM,1900,02,Rampart,0237,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1600 W  COURT                        ST,,34.0668,-118.2627
200308100,03/07/2020 12:00:00 AM,03/06/2020 12:00:00 AM,2200,03,Southwest,0317,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,VERMONT,24TH,34.0344,-118.2915
200606074,02/12/2020 12:00:00 AM,02/07/2020 12:00:00 AM,1615,06,Hollywood,0646,2,805,PIMPING,1300 1402,23,F,H,101,STREET,,,AA,Adult Arrest,805,998,,,HOLLYWOOD,MC CADDEN,34.1016,-118.337
200517540,12/07/2020 12:00:00 AM,11/30/2020 12:00:00 AM,2255,05,Harbor,0541,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1400    BRETT                        PL,,33.7553,-118.3056
200506977,03/10/2020 12:00:00 AM,02/22/2020 12:00:00 AM,0030,05,Harbor,0511,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AA,Adult Arrest,510,,,,1600 W  PACIFIC COAST                HY,,33.7926,-118.3043
201110303,06/11/2020 12:00:00 AM,06/08/2020 12:00:00 AM,2000,11,Northeast,1118,1,310,BURGLARY,0344 1607,0,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,100    AVENUE 56,,34.1089,-118.1942
201000767,07/14/2020 12:00:00 AM,07/13/2020 12:00:00 AM,2000,10,West Valley,1043,1,330,BURGLARY FROM VEHICLE,0344 1602 1822 1402,41,M,W,108,PARKING LOT,,,AA,Adult Arrest,330,998,,,18600    HATTERAS                     ST,,34.1774,-118.5387
200510354,06/08/2020 12:00:00 AM,06/08/2020 12:00:00 AM,0330,05,Harbor,0587,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2900 S  KERCKHOFF                    AV,,33.7179,-118.2898
200410136,06/24/2020 12:00:00 AM,06/24/2020 12:00:00 AM,0700,04,Hollenbeck,0413,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,300 E  AVENUE 31,,34.0809,-118.2132
200814461,09/24/2020 12:00:00 AM,09/24/2020 12:00:00 AM,1710,08,West LA,0898,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,ROBERTSON                    BL,GIBSON                       ST,34.0375,-118.3886
201215562,06/29/2020 12:00:00 AM,06/29/2020 12:00:00 AM,0730,12,77th Street,1263,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,81ST,DENKER,33.9655,-118.3046
200210168,05/14/2020 12:00:00 AM,05/12/2020 12:00:00 AM,2100,02,Rampart,0266,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,700 S  UNION                        AV,,34.0531,-118.2738
200714301,09/27/2020 12:00:00 AM,09/22/2020 12:00:00 AM,1430,07,Wilshire,0702,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,800 N  FULLER                       AV,,34.0853,-118.3499
200906009,02/14/2020 12:00:00 AM,02/13/2020 12:00:00 AM,2230,09,Van Nuys,0914,2,806,PANDERING,0908 1212 1402,0,F,X,101,STREET,,,AO,Adult Other,806,998,,,SEPULVEDA,BASSETT,34.1958,-118.4662
200218448,12/11/2020 12:00:00 AM,12/10/2020 12:00:00 AM,2000,02,Rampart,0271,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,900 S  ALVARADO                     ST,,34.0529,-118.2819
200618540,11/27/2020 12:00:00 AM,11/27/2020 12:00:00 AM,0950,06,Hollywood,0642,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,ORANGE,SUNSET,34.0981,-118.3577
200316510,08/30/2020 12:00:00 AM,08/29/2020 12:00:00 AM,2050,03,Southwest,0333,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AO,Adult Other,510,,,,JEFFERSON,HARCOURT,34.0278,-118.3378
200504009,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2100,05,Harbor,0526,2,946,OTHER MISCELLANEOUS CRIME,1501 0906 1816,0,X,X,101,STREET,,,AA,Adult Arrest,946,,,,G,ISLAND,33.7783,-118.2662
200808682,04/25/2020 12:00:00 AM,04/21/2020 12:00:00 AM,1400,08,West LA,0858,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,8800 W  PICO                         BL,,34.0548,-118.3837
200810737,06/17/2020 12:00:00 AM,06/16/2020 12:00:00 AM,1600,08,West LA,0829,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1300    WOODRUFF                     AV,,34.0633,-118.4292
201116973,12/26/2020 12:00:00 AM,12/26/2020 12:00:00 AM,0332,11,Northeast,1169,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,200 S  AVENUE 51,,34.1038,-118.1987
200510994,06/25/2020 12:00:00 AM,06/25/2020 12:00:00 AM,0230,05,Harbor,0563,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,14TH                         ST,PACIFIC                      AV,33.7315,-118.2879
201107590,03/22/2020 12:00:00 AM,03/21/2020 12:00:00 AM,2000,11,Northeast,1137,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,700 N  AVENUE 50,,34.1109,-118.2016
200119680,10/19/2020 12:00:00 AM,10/18/2020 12:00:00 AM,1800,01,Central,0159,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,1800    CONWAY                       PL,,34.0366,-118.2325
200410224,06/27/2020 12:00:00 AM,06/27/2020 12:00:00 AM,0400,04,Hollenbeck,0471,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,4TH,CLARENCE,34.0427,-118.2237
200412621,09/10/2020 12:00:00 AM,09/09/2020 12:00:00 AM,1800,04,Hollenbeck,0467,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,100 S  SOTO                         ST,,34.0424,-118.2107
201106871,03/04/2020 12:00:00 AM,03/02/2020 12:00:00 AM,2130,11,Northeast,1107,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,50,M,H,101,STREET,,,IC,Invest Cont,745,,,,6100    DELPHI                       ST,,34.1241,-118.1878
200111627,05/12/2020 12:00:00 AM,05/10/2020 12:00:00 AM,2200,01,Central,0111,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 0913,30,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,998,,,700 N  HILL                         PL,,34.0618,-118.2424
200109800,03/29/2020 12:00:00 AM,03/29/2020 12:00:00 AM,0930,01,Central,0163,1,330,BURGLARY FROM VEHICLE,1307 1822 0377 0329 1414 1609 0344,0,M,W,103,ALLEY,,,IC,Invest Cont,330,,,,9TH,MAIN,34.0416,-118.255
201225656,12/02/2020 12:00:00 AM,12/02/2020 12:00:00 AM,2245,12,77th Street,1268,1,210,ROBBERY,0344 0305 0355,21,M,H,101,STREET,511,VERBAL THREAT,IC,Invest Cont,210,,,,SAN PEDRO,85TH                         ST,33.961,-118.2695
200309451,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,1210,03,Southwest,0361,1,310,BURGLARY,0329 0325 0344 1601,19,X,X,301,GAS STATION,,,IC,Invest Cont,310,,,,3700 S  LA BREA                      AV,,34.0199,-118.3556
200211094,06/08/2020 12:00:00 AM,06/06/2020 12:00:00 AM,1200,02,Rampart,0237,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344 1309 0601,0,X,X,247,CAR WASH,,,IC,Invest Cont,341,,,,1600 W  TEMPLE                       ST,,34.0682,-118.2609
201212036,05/02/2020 12:00:00 AM,05/01/2020 12:00:00 AM,2330,12,77th Street,1268,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0411,28,F,B,501,SINGLE FAMILY DWELLING,201,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,IC,Invest Cont,230,,,,100 E  82ND                         ST,,33.9654,-118.2739
200914517,09/10/2020 12:00:00 AM,09/09/2020 12:00:00 AM,1735,09,Van Nuys,0909,2,354,THEFT OF IDENTITY,0377 1822 0928,40,M,O,507,CONDOMINIUM/TOWNHOUSE,,,IC,Invest Cont,354,,,,13600    LEADWELL                     ST,,34.2039,-118.4312
200105246,01/18/2020 12:00:00 AM,01/18/2020 12:00:00 AM,0940,01,Central,0118,2,624,BATTERY - SIMPLE ASSAULT,0913 0400,42,M,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624,,,,200 E  BLOOM                        ST,,34.0639,-118.2295
201106067,02/15/2020 12:00:00 AM,02/15/2020 12:00:00 AM,1830,11,Northeast,1101,1,330,BURGLARY FROM VEHICLE,0344 0352 1307,43,M,A,108,PARKING LOT,,,IC,Invest Cont,330,,,,2700 N  VERMONT                      AV,,34.1179,-118.293
