DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
201116118,11/27/2020 12:00:00 AM,11/23/2020 12:00:00 AM,1200,11,Northeast,1141,2,354,THEFT OF IDENTITY,0930 1822,26,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,2000 N  VERMONT                      AV,,34.1095,-118.2958
200716724,12/04/2020 12:00:00 AM,12/03/2020 12:00:00 AM,0811,07,Wilshire,0722,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0104,19,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,8400    BEVERLY                      BL,,34.0761,-118.3737
200217442,11/15/2020 12:00:00 AM,11/15/2020 12:00:00 AM,0310,02,Rampart,0218,1,310,BURGLARY,1822 1609 0329 0344 0352,36,M,W,210,RESTAURANT/FAST FOOD,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,1500 W  SUNSET                       BL,,34.0758,-118.2552
200914052,08/27/2020 12:00:00 AM,08/27/2020 12:00:00 AM,1255,09,Van Nuys,0935,2,624,BATTERY - SIMPLE ASSAULT,0444,57,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,14100    SYLVAN                       ST,,34.1847,-118.44
200810920,06/20/2020 12:00:00 AM,06/20/2020 12:00:00 AM,1000,08,West LA,0841,2,624,BATTERY - SIMPLE ASSAULT,1202 0448,78,F,W,510,NURSING/CONVALESCENT/RETIREMENT HOME,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,12100    SANTA MONICA                 BL,,34.0423,-118.4656
201112187,08/04/2020 12:00:00 AM,07/16/2020 12:00:00 AM,1900,11,Northeast,1144,2,662,"BUNCO, GRAND THEFT",0701 0913 0361,51,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,662,,,,2100    HYPERION                     AV,,34.099,-118.2738
201212259,05/05/2020 12:00:00 AM,05/05/2020 12:00:00 AM,0932,12,77th Street,1239,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0315 0325 0344 0324,0,X,X,402,MARKET,,,IC,Invest Cont,343,,,,5900 S  FIGUEROA                     ST,,33.9874,-118.2827
200918185,12/07/2020 12:00:00 AM,12/07/2020 12:00:00 AM,1203,09,Van Nuys,0935,2,900,VIOLATION OF COURT ORDER,2000 2038,52,F,W,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,AA,Adult Arrest,900,,,,6200    SYLMAR                       AV,,34.1837,-118.4465
200105289,01/19/2020 12:00:00 AM,01/16/2020 12:00:00 AM,1700,01,Central,0119,1,510,VEHICLE - STOLEN,,0,,,104,DRIVEWAY,,,IC,Invest Cont,510,,,,400    BAUCHET                      ST,,34.0587,-118.233
200516527,11/12/2020 12:00:00 AM,11/12/2020 12:00:00 AM,0430,05,Harbor,0508,1,510,VEHICLE - STOLEN,,0,,,104,DRIVEWAY,,,IC,Invest Cont,510,,,,23400    PRESIDENT                    AV,,33.8129,-118.3071
200609101,04/15/2020 12:00:00 AM,04/12/2020 12:00:00 AM,1300,06,Hollywood,0648,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,AO,Adult Other,510,,,,5700    HOLLYWOOD                    BL,,34.1017,-118.3136
201210786,04/11/2020 12:00:00 AM,04/11/2020 12:00:00 AM,2035,12,77th Street,1259,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 2024 0445 0411 1218 2033,26,F,B,103,ALLEY,215,MACHETE,IC,Invest Cont,230,,,,74TH                         ST,AVALON,33.973,-118.2652
200706211,02/17/2020 12:00:00 AM,02/16/2020 12:00:00 AM,2350,07,Wilshire,0734,2,624,BATTERY - SIMPLE ASSAULT,0444,29,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,6000 W  6TH                          ST,,34.0677,-118.3548
200514277,09/17/2020 12:00:00 AM,09/17/2020 12:00:00 AM,2255,05,Harbor,0558,2,901,VIOLATION OF RESTRAINING ORDER,1813 2000 2038,46,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,901,,,,200 W  AMAR                         ST,,33.7478,-118.2822
200506268,02/22/2020 12:00:00 AM,02/22/2020 12:00:00 AM,1900,05,Harbor,0511,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0319 0344 0429 0448 0305,29,F,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,440,624,,,PACIFIC COAST,VERMONT,33.7926,-118.3043
200119908,10/24/2020 12:00:00 AM,10/23/2020 12:00:00 AM,2330,01,Central,0185,1,330,BURGLARY FROM VEHICLE,1609 0344 1307 1822 0329,0,F,B,108,PARKING LOT,,,IC,Invest Cont,330,,,,1000 S  BROADWAY,,34.0406,-118.2578
200206940,02/27/2020 12:00:00 AM,02/27/2020 12:00:00 AM,1255,02,Rampart,0216,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0202 1309 1310 0906 0302 1100 0430,28,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,230,,,,BELLEVUE                     AV,CORONADO                     ST,34.0751,-118.2717
200709456,05/20/2020 12:00:00 AM,05/20/2020 12:00:00 AM,1250,07,Wilshire,0773,1,330,BURGLARY FROM VEHICLE,1300 1309 1607 0344 0326,53,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,330,,,,1800 S  COCHRAN                      AV,,34.0443,-118.3538
201014375,10/24/2020 12:00:00 AM,10/23/2020 12:00:00 AM,2330,10,West Valley,1025,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 1420,0,M,W,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,740,,,,6800    RESEDA                       BL,,34.1939,-118.536
200117110,08/28/2020 12:00:00 AM,05/01/2020 12:00:00 AM,0100,01,Central,0154,1,121,"RAPE, FORCIBLE",0537 0527 1814 0522 0516 2000 1206 2001 0913,22,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,500 S  MAIN                         ST,,34.0465,-118.2488
200610130,05/11/2020 12:00:00 AM,05/11/2020 12:00:00 AM,1130,06,Hollywood,0645,1,210,ROBBERY,0325 0601 0104 0400 0945 1822,0,X,X,401,MINI-MART,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,,,7000 W  SUNSET                       BL,,34.098,-118.3416
200714035,09/20/2020 12:00:00 AM,09/01/2020 12:00:00 AM,0001,07,Wilshire,0715,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 0344 1300 0385,70,F,W,101,STREET,,,IC,Invest Cont,331,,,,400 N  ALTA VISTA                   BL,,34.0783,-118.3474
200210863,06/01/2020 12:00:00 AM,06/01/2020 12:00:00 AM,1525,02,Rampart,0235,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2200    VALLEY                       ST,,34.0653,-118.2725
200911839,07/02/2020 12:00:00 AM,06/26/2020 12:00:00 AM,1200,09,Van Nuys,0974,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0385,36,M,W,101,STREET,,,IC,Invest Cont,331,,,,4600    WILLIS                       AV,,34.1545,-118.4552
200615995,09/28/2020 12:00:00 AM,09/27/2020 12:00:00 AM,0035,06,Hollywood,0646,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,740,,,,6600 W  SUNSET                       BL,,34.098,-118.3335
200200760,07/07/2020 12:00:00 AM,07/07/2020 12:00:00 AM,1620,02,Rampart,0241,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 0334 0445 0416 1822 1218 0429 1223 0400,45,M,B,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,,,,6TH                          ST,BENTON                       WY,34.0628,-118.2821
201115543,11/08/2020 12:00:00 AM,11/08/2020 12:00:00 AM,1500,11,Northeast,1183,1,330,BURGLARY FROM VEHICLE,0344 1612,42,M,W,101,STREET,,,IC,Invest Cont,330,,,,1600 N  ALVARADO                     ST,,34.0834,-118.2599
200320615,11/18/2020 12:00:00 AM,11/11/2020 12:00:00 AM,2300,03,Southwest,0327,1,480,BIKE - STOLEN,0344 1822,22,M,W,121,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,480,,,,2600    ORCHARD                      AV,,34.0303,-118.2874
200200724,06/05/2020 12:00:00 AM,06/04/2020 12:00:00 AM,1850,02,Rampart,0202,2,624,BATTERY - SIMPLE ASSAULT,0913 0554 0508 0602 2001,39,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624,,,,4300    NORMAL                       AV,,34.0888,-118.2881
201007153,03/12/2020 12:00:00 AM,03/12/2020 12:00:00 AM,0640,10,West Valley,1001,2,888,TRESPASSING,1822 2004,45,F,H,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,888,,,,19500    INGOMAR                      ST,,34.212,-118.5579
201308239,03/16/2020 12:00:00 AM,02/28/2020 12:00:00 AM,2300,13,Newton,1333,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1202 0329,62,M,W,510,NURSING/CONVALESCENT/RETIREMENT HOME,,,IC,Invest Cont,745,,,,1000 E  28TH                         ST,,34.0175,-118.2574
200506936,03/09/2020 12:00:00 AM,03/08/2020 12:00:00 AM,1830,05,Harbor,0506,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,WESTERN                      AV,221ST                        ST,33.8268,-118.309
201217850,08/04/2020 12:00:00 AM,08/04/2020 12:00:00 AM,1000,12,77th Street,1249,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0416 2000 1814 0913,31,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,6700 S  FIGUEROA                     ST,,33.9786,-118.2827
200310566,04/25/2020 12:00:00 AM,04/25/2020 12:00:00 AM,0950,03,Southwest,0356,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0377 0344 1822,37,M,B,402,MARKET,,,IC,Invest Cont,440,,,,1700 W  JEFFERSON                    BL,,34.0256,-118.3061
201222029,10/04/2020 12:00:00 AM,10/04/2020 12:00:00 AM,1800,12,77th Street,1268,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 0400 0416 1813 2000 2002,32,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,100 E  84TH                         PL,,33.9619,-118.2717
201211083,04/17/2020 12:00:00 AM,04/16/2020 12:00:00 AM,1700,12,77th Street,1209,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,FLOWER                       ST,49TH                         ST,33.9983,-118.2813
201209876,03/27/2020 12:00:00 AM,03/27/2020 12:00:00 AM,1650,12,77th Street,1263,1,210,ROBBERY,,0,M,W,101,STREET,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,210,,,,2000 W  80TH                         ST,,33.9664,-118.3134
201009044,05/15/2020 12:00:00 AM,05/13/2020 12:00:00 AM,1315,10,West Valley,1049,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1822 1606,0,M,W,104,DRIVEWAY,,,IC,Invest Cont,331,,,,16800    BURBANK                      BL,,34.1718,-118.4993
201110399,06/13/2020 12:00:00 AM,06/11/2020 12:00:00 AM,1700,11,Northeast,1145,1,330,BURGLARY FROM VEHICLE,0385,34,F,O,101,STREET,,,IC,Invest Cont,330,,,,2400 N  ALVARADO                     ST,,34.097,-118.2518
201307829,03/09/2020 12:00:00 AM,02/28/2020 12:00:00 AM,1600,13,Newton,1309,1,510,VEHICLE - STOLEN,,0,,,104,DRIVEWAY,,,IC,Invest Cont,510,,,,900    MATEO                        ST,,34.0326,-118.2322
200311518,05/18/2020 12:00:00 AM,05/14/2020 12:00:00 AM,1900,03,Southwest,0373,1,520,VEHICLE - ATTEMPT STOLEN,1300 0329 1612 1202,65,M,B,101,STREET,,,IC,Invest Cont,520,,,,3900    HUBERT                       AV,,34.0142,-118.3281
200304274,01/05/2020 12:00:00 AM,01/04/2020 12:00:00 AM,2030,03,Southwest,0377,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0311 1202,60,F,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,1200    BROWNING                     BL,,34.0121,-118.2968
200119934,10/24/2020 12:00:00 AM,10/24/2020 12:00:00 AM,0645,01,Central,0128,2,354,THEFT OF IDENTITY,0377,49,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,200 E  1ST                          ST,,34.0512,-118.2419
200814436,09/23/2020 12:00:00 AM,09/23/2020 12:00:00 AM,1100,08,West LA,0885,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,10200    CRESTA                       DR,,34.0417,-118.4041
200316872,09/04/2020 12:00:00 AM,09/03/2020 12:00:00 AM,0900,03,Southwest,0392,1,330,BURGLARY FROM VEHICLE,1822 1601 0344 0386 1300,38,M,B,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,5100    CRENSHAW                     BL,,33.9967,-118.3306
200911119,06/16/2020 12:00:00 AM,06/15/2020 12:00:00 AM,2300,09,Van Nuys,0906,1,330,BURGLARY FROM VEHICLE,0344,37,M,O,101,STREET,,,IC,Invest Cont,330,,,,14200    LEADWELL                     ST,,34.2041,-118.4425
